Time,phi,theta,psi
35.563,-0.005212508029263365,0.023403470371347046,0.17138624221220014
35.564,-0.00520248568782803,0.023383594777210304,0.17130566869142894
35.565,-0.005191737921886362,0.02336315604224093,0.17122448646546132
35.566,-0.00518028714256745,0.02334235141576002,0.17114258780832903
35.567,-0.005168117411458757,0.02332128702097469,0.1710598657808063
35.568,-0.0051552194815114895,0.023300071809069234,0.1709762201245648
35.569,-0.00514159107155827,0.023278816662204438,0.17089155795720876
35.57,-0.0051272370712281915,0.023257633488570573,0.17080579440827953
35.571,-0.005112169669114431,0.023236634315226823,0.17071885319361513
35.572,-0.005096408398102991,0.023215930384414385,0.17063066712587724
35.573,-0.005079980093021959,0.02319563125894253,0.1705411785594213
35.574,-0.005062918757185219,0.023175843942206065,0.1704503397680035
35.575,-0.005045264394853493,0.023156672223648922,0.1703581538819291
35.576,-0.005027120452837396,0.023138232415952364,0.17026456118056504
35.577,-0.005008539023330241,0.023120618042053342,0.17016954515496233
35.578,-0.004989577941935315,0.02310391683284352,0.17007310004061255
35.579,-0.004970300203492692,0.02308821000400285,0.1699752308458456
35.58,-0.004950773301526443,0.02307357157917589,0.1698759533082492
35.581,-0.004931068499540574,0.023060067764449244,0.1697752937788691
35.582,-0.00491126004384124,0.023047756378992368,0.1696732890341235
35.583,-0.004891424328829351,0.023036686346499247,0.16956998601557288
35.584,-0.004871639026780896,0.023026897251894995,0.16946544149794554
35.585,-0.004851980478420681,0.023018419330026907,0.16935979625214018
35.586,-0.004832532395658014,0.02301118399262858,0.1692530662428672
35.587,-0.0048133703392645825,0.02300520380619475,0.16914533494297165
35.588,-0.004794567584854472,0.023000480877661378,0.1690366936392976
35.589,-0.004776194281262163,0.022997006796362518,0.16892724076136112
35.59,-0.004758316653358723,0.022994762660330403,0.16881708114941305
35.591,-0.004740996261194894,0.022993719188469708,0.16870632526581142
35.592,-0.004724289326237494,0.022993836919495303,0.16859508835434497
35.593,-0.004708246134097921,0.022995066497798478,0.16848348955289344
35.594,-0.004692910521571935,0.022997349045635884,0.16837165096555978
35.595,-0.004678318486021224,0.023000616817453245,0.16825973879663045
35.596000000000004,-0.004664495133516611,0.0230047060716978,0.16814784490305276
35.597,-0.004651462755818923,0.02300953538695505,0.16803609435581454
35.598,-0.004639236109094835,0.023015016030798252,0.16792461122494345
35.599,-0.004627822378017231,0.023021052726994284,0.1678135175655169
35.6,-0.004617221231907276,0.023027544486831975,0.16770293241335496
35.601,-0.004607424967914828,0.023034385497770593,0.16759297080018085
35.602,-0.0045984187347666025,0.023041466061750837,0.16748374279810196
35.603,-0.004590180829383104,0.023048673574754375,0.16737535260317185
35.604,-0.00458268305768926,0.023055893538511674,0.16726789766754666
35.605,-0.0045758912556944364,0.023063010573729947,0.16716146331613688
35.606,-0.004569672758568827,0.02306984539043766,0.1670561353873207
